record_id,supplier_name,supplier_official_url,supplier_type,product_name,product_url,page_type,is_valid_product_detail_url,category,sub_category,origin,grade,storage_type,processing_type,pack_size_value,pack_size_unit,order_unit,units_per_case,minimum_order_quantity,displayed_price,vat_included,shipping_fee,free_shipping_threshold,normalized_price_per_kg_or_ea,delivery_to_busan,delivery_verification_status,stock_status,login_required,business_member_only,public_api_found,partnership_url,captured_at,source_confidence,confidence_observations,memo
p015,푸드엔,https://www.fooden.com,식자재마트/온라인몰,큐원 하얀설탕 3kg/삼양사,https://m.fooden.com/shop/recipe_view.php?no=38,recipe_page,False,소스·조미료,설탕,,,,,3,kg,,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],레시피 페이지 가격 노출. 개별 상세 URL 아님.
p016,푸드엔,https://www.fooden.com,식자재마트/온라인몰,해표 식용유 1.8L/사조해표,https://m.fooden.com/shop/recipe_view.php?no=38,recipe_page,False,소스·조미료,식용유,,,,,1.8,L,,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],레시피 페이지 가격 노출. 개별 상세 URL 아님.
p017,푸드엔,https://www.fooden.com,식자재마트/온라인몰,(손) 도시락봉투(치킨봉투) 흰색/100장/HDPE,https://www.fooden.com/shop/detail.php?pno=71eb05fb8b7ca2fc09e6ea494ba9e518,product_detail,True,포장재,배달/도시락 봉투,,,,HDPE,100,장,팩,100,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],봉투류 상세 URL 1개 확보.
p018,푸드엔,https://www.fooden.com,식자재마트/온라인몰,삼성 쿠킹호일(30cm*30HO)/삼성알미늄,https://m.fooden.com/shop/detail.php?pno=ad5db770d50e4af19a4074a5d5d528fa,product_detail,True,주방 소모품,쿠킹호일,,,,알루미늄 호일,,,,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],호일 상세 URL 확보.
p019,코르소스,https://korsauce.com,온라인몰,위생장갑 대용량 200매 업소용 일회용 비닐장갑,https://korsauce.com/product/%EC%9C%84%EC%83%9D%EC%9E%A5%EA%B0%91-%EB%8C%80%EC%9A%A9%EB%9F%89-200%EB%A7%A4-%EC%97%85%EC%86%8C%EC%9A%A9-%EC%9D%BC%ED%9A%8C%EC%9A%A9-%EB%B9%84%EB%8B%90%EC%9E%A5%EA%B0%91/,product_detail,True,주방 소모품,위생장갑,,,,일회용 비닐장갑,200,매,팩,200,,,,,,,,not_checked,unknown,False,False,False,,2026-06-07,,[],업소용 소모품 상세페이지로 기록됨.
p020,nwkitchen,https://nwkitchen.kr,온라인 주방용품몰,크린랩 여러번 빨아쓰는 행주(23*30/25매) / 롤행주,https://nwkitchen.kr/product/%ED%81%AC%EB%A6%B0%EB%9E%A9-%EC%97%AC%EB%9F%AC%EB%B2%88-%EB%B9%A8%EC%95%84%EC%93%B0%EB%8A%94-%ED%96%89%EC%A3%BC-23-30-25%EB%A7%A4-%EB%A1%A4%ED%96%89%EC%A3%BC/,product_detail,True,주방 소모품,행주,,,,롤행주,25,매,롤,25,,,,,,,,not_checked,unknown,False,False,False,,2026-06-07,,[],행주/키친타월 계열.
p021,11번가,https://www.11st.co.kr,오픈마켓,와이프올 X80 푸드서비스 타올 50매 9카톤,https://www.11st.co.kr/products/1359588300,product_detail,True,주방 소모품,푸드서비스 타올,,,,,450,매,9카톤,450,,,,,,,,not_checked,unknown,False,False,False,,2026-06-07,,[],키친타월 대체 상품.
p022,푸드엔,https://www.fooden.com,식자재마트/온라인몰,이츠웰 실속키친타올 150매*4롤/CJ프레시웨이,https://m.fooden.com/shop/big_section.php?cno1=%EC%9E%94%EB%A6%AC...,category_page_truncated_url,False,주방 소모품,키친타월,,,,,600,매,4롤,600,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],카테고리 노출까지만 확인됨. URL이 말줄임으로 끝나므로 유효한 상세 URL이 아님.
p023,푸드엔,https://www.fooden.com,식자재마트/온라인몰,소각 야채맛 사각어묵 700g/환공어묵,https://www.fooden.com/shop/detail.php?pno=0b820d028ea6a7901d05bc9eeaf4b580,product_detail,True,가공식품,어묵,,,냉장,사각,0.7,kg,봉,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,0.9,[0.9],냉장 0~10℃ 표기. 고기덮밥 핵심 공급품은 아니나 퍼플렉시티 수집본에 포함되어 보존.
p024,푸드엔,https://www.fooden.com,식자재마트/온라인몰,야채상보·어묵 800g (야채맛튀김)/환공어묵,https://m.fooden.com/shop/detail.php?pno=45649c20641086b8311858af932583a1,product_detail,True,가공식품,어묵,,,냉장,튀김,0.8,kg,봉,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,0.88,[0.88],국/토핑 대체재. 고기덮밥 핵심 공급품은 아니나 수집본 보존.
p025,푸드엔,https://www.fooden.com,식자재마트/온라인몰,버팔로 윙 1kg (태국산·미들윙)/사세,https://www.fooden.com/shop/detail.php?pno=237cbd744f22a3b65e3e721146dfe44d,product_detail,True,육류,냉동 육가공,태국산,,냉동,양념육,1,kg,봉,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,0.72,[0.72],요청 범위 외 예시 상품이지만 퍼플렉시티 수집본에 포함되어 보존.
p026,푸드엔,https://www.fooden.com,식자재마트/온라인몰,그린쉘 김말이튀김 1kg/청우푸드,https://m.fooden.com/shop/detail.php?pno=f1fec255f530a75af982517581c1b216,product_detail,True,가공식품,튀김/간편식,,,,튀김,1,kg,봉,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],참고용 상세 상품. 핵심 메뉴 범위 밖이지만 수집본 보존.
p027,푸드엔,https://www.fooden.com,식자재마트/온라인몰,미국산/호주산 후보 우삼겹 검색 결과,,search_result_only,False,육류,냉동 우삼겹 후보,미국산/호주산,,냉동,,,,,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],검색 결과 기반 후보. 개별 상세 URL 추가 확보 필요.
p028,미확인,,미확인,일회용 식자재몰 포장재 후보,,candidate_only,False,포장재,포장재 후보,,,,,,,,,,,,,,,,not_checked,unknown,False,False,False,,2026-06-07,,[],카테고리/상세 URL 분리 필요.
p029,푸드엔,https://www.fooden.com,식자재마트/온라인몰,식자재몰 검색 결과 내 우삼겹/쌀/소스 후보,,search_result_only,False,복합,검색 후보,,,,,,,,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],검색 결과만 확인되어 상세 URL 추가 수집 필요.
